date,close,daily_return,temperature,humidity,cloud_cover,wind_speed,good_weather,bad_weather
2025-12-17,671.4,-1.100357948,-0.6,71,60,14.5,0,1
2025-12-16,678.87,-0.273236085,-5.6,75,55,11.7,0,1
2025-12-15,680.73,-0.151079559,-6.2,70,46,18.1,0,1
2025-12-12,681.76,-1.075206408,-1.9,48,1,16.1,0,1
2025-12-11,689.17,0.232703579,0.8,58,47,24.1,0,1
2025-12-10,687.57,0.663211525,2.5,77,99,18.3,0,1
2025-12-09,683.04,-0.086303995,-3.9,42,55,15.8,0,1
2025-12-08,683.63,-0.300427307,-1.8,48,81,18.6,0,1
2025-12-05,685.69,0.189950175,-3.5,56,62,14.5,0,1
2025-12-04,684.39,0.073111173,0.6,66,31,20.4,0,1
2025-12-03,683.89,0.346279694,1.2,70,28,17.7,0,1
2025-12-02,681.53,0.185220574,0.8,87,100,17.2,0,1
2025-12-01,680.27,-0.456547506,3.2,57,53,17.8,0,0
2025-11-28,683.39,0.545845104,2.5,51,12,25.9,0,1
2025-11-26,679.68,0.690349916,13.2,92,80,17.6,0,1
2025-11-25,675.02,0.940588877,7.7,79,100,18.0,0,1
2025-11-24,668.73,1.471860158,6.8,61,26,13.5,1,0
2025-11-21,659.03,0.996122784,6.9,83,99,14.4,0,1
2025-11-20,652.53,-1.524229208,3.2,72,67,6.6,0,0
2025-11-19,662.63,0.38631681,4.8,78,79,8.7,0,1
2025-11-18,660.08,-0.839755434,4.5,54,46,16.1,0,0
2025-11-17,665.67,-0.931644665,4.0,50,27,25.5,0,0
2025-11-14,671.93,-0.016368073,6.3,64,37,16.5,1,0
2025-11-13,672.04,-1.65939887,7.3,65,25,21.1,1,0
2025-11-12,683.38,0.055636896,5.5,60,83,15.6,0,1
2025-11-11,683.0,0.228926978,2.4,58,66,28.2,0,1
2025-11-10,681.44,1.560427441,10.1,84,72,17.3,0,1
2025-11-07,670.97,0.098461906,8.7,63,90,18.2,0,1
2025-11-06,670.31,-1.072936037,9.5,53,47,23.4,1,0
2025-11-05,677.58,0.346543451,11.1,56,59,20.6,1,0
